"année";"BAP";"CORPS";"corps normalisé";"classe ";"EMPLOIS TYPES";"NATURE";"catégorie";"NOMBRE d'emplois";"source";"incomplet"
2009;"A";"Assistant ingénieur.";"assistant ingénieur";"nc";"Assistant en traitement de données biologiques.";"interne";"A";1;"https://www.legifrance.gouv.fr/jorf/id/JORFTEXT000020568522";
2009;"A";"Assistant ingénieur.";"assistant ingénieur";"nc";"Assistant en expérimentation et instrumentation biologiques.";"externe";"A";4;"https://www.legifrance.gouv.fr/jorf/id/JORFTEXT000020568522";
2009;"A";"Assistant ingénieur.";"assistant ingénieur";"nc";"Assistant en expérimentation et instrumentation biologiques.";"interne";"A";3;"https://www.legifrance.gouv.fr/jorf/id/JORFTEXT000020568522";
2009;"A";"Assistant ingénieur.";"assistant ingénieur";"nc";"Assistant en techniques biologiques.";"externe";"A";14;"https://www.legifrance.gouv.fr/jorf/id/JORFTEXT000020568522";
2009;"A";"Assistant ingénieur.";"assistant ingénieur";"nc";"Assistant en techniques biologiques.";"interne";"A";10;"https://www.legifrance.gouv.fr/jorf/id/JORFTEXT000020568522";
2009;"A";"Assistant ingénieur.";"assistant ingénieur";"nc";"Assistant en techniques d'expérimentation animale.";"externe";"A";1;"https://www.legifrance.gouv.fr/jorf/id/JORFTEXT000020568522";
2009;"A";"Assistant ingénieur.";"assistant ingénieur";"nc";"Assistant en techniques d'élevage et production animale.";"interne";"A";1;"https://www.legifrance.gouv.fr/jorf/id/JORFTEXT000020568522";
2009;"A";"Assistant ingénieur.";"assistant ingénieur";"nc";"Assistant en techniques d'étude des milieux naturels et ruraux.";"externe";"A";1;"https://www.legifrance.gouv.fr/jorf/id/JORFTEXT000020568522";
2009;"A";"Assistant ingénieur.";"assistant ingénieur";"nc";"Assistant en techniques d'étude des milieux naturels et ruraux.";"interne";"A";1;"https://www.legifrance.gouv.fr/jorf/id/JORFTEXT000020568522";
2009;"B";"Assistant ingénieur.";"assistant ingénieur";"nc";"Assistant en technique d'analyse des biomolécules.";"externe";"A";1;"https://www.legifrance.gouv.fr/jorf/id/JORFTEXT000020568522";
2009;"B";"Assistant ingénieur.";"assistant ingénieur";"nc";"Assistant en techniques d'analyse chimique.";"externe";"A";3;"https://www.legifrance.gouv.fr/jorf/id/JORFTEXT000020568522";
2009;"B";"Assistant ingénieur.";"assistant ingénieur";"nc";"Assistant en techniques d'analyse chimique.";"interne";"A";4;"https://www.legifrance.gouv.fr/jorf/id/JORFTEXT000020568522";
2009;"B";"Assistant ingénieur.";"assistant ingénieur";"nc";"Assistant en techniques de synthèse chimique.";"interne";"A";2;"https://www.legifrance.gouv.fr/jorf/id/JORFTEXT000020568522";
2009;"B";"Assistant ingénieur.";"assistant ingénieur";"nc";"Assistant en techniques de sciences des matériaux/caractérisation.";"externe";"A";4;"https://www.legifrance.gouv.fr/jorf/id/JORFTEXT000020568522";
2009;"B";"Assistant ingénieur.";"assistant ingénieur";"nc";"Assistant en techniques de sciences des matériaux/caractérisation.";"interne";"A";3;"https://www.legifrance.gouv.fr/jorf/id/JORFTEXT000020568522";
2009;"C";"Assistant ingénieur.";"assistant ingénieur";"nc";"Assistant en instrumentation scientifique et techniques expérimentales.";"externe";"A";15;"https://www.legifrance.gouv.fr/jorf/id/JORFTEXT000020568522";
2009;"C";"Assistant ingénieur.";"assistant ingénieur";"nc";"Assistant en instrumentation scientifique et techniques expérimentales.";"interne";"A";4;"https://www.legifrance.gouv.fr/jorf/id/JORFTEXT000020568522";
2009;"C";"Assistant ingénieur.";"assistant ingénieur";"nc";"Assistant électronicien.";"externe";"A";5;"https://www.legifrance.gouv.fr/jorf/id/JORFTEXT000020568522";
2009;"C";"Assistant ingénieur.";"assistant ingénieur";"nc";"Assistant électronicien.";"interne";"A";4;"https://www.legifrance.gouv.fr/jorf/id/JORFTEXT000020568522";
2009;"C";"Assistant ingénieur.";"assistant ingénieur";"nc";"Assistant électrotechnicien.";"externe";"A";1;"https://www.legifrance.gouv.fr/jorf/id/JORFTEXT000020568522";
2009;"C";"Assistant ingénieur.";"assistant ingénieur";"nc";"Assistant électrotechnicien.";"interne";"A";1;"https://www.legifrance.gouv.fr/jorf/id/JORFTEXT000020568522";
2009;"C";"Assistant ingénieur.";"assistant ingénieur";"nc";"Assistant en études mécaniques.";"externe";"A";2;"https://www.legifrance.gouv.fr/jorf/id/JORFTEXT000020568522";
2009;"C";"Assistant ingénieur.";"assistant ingénieur";"nc";"Assistant en fabrication mécanique.";"externe";"A";7;"https://www.legifrance.gouv.fr/jorf/id/JORFTEXT000020568522";
2009;"C";"Assistant ingénieur.";"assistant ingénieur";"nc";"Assistant en fabrication mécanique.";"interne";"A";4;"https://www.legifrance.gouv.fr/jorf/id/JORFTEXT000020568522";
2009;"C";"Assistant ingénieur.";"assistant ingénieur";"nc";"Assistant ingénieur en travail du verre.";"interne";"A";3;"https://www.legifrance.gouv.fr/jorf/id/JORFTEXT000020568522";
2009;"D";"Assistant ingénieur.";"assistant ingénieur";"nc";"Assistant cartographe.";"externe";"A";1;"https://www.legifrance.gouv.fr/jorf/id/JORFTEXT000020568522";
2009;"D";"Assistant ingénieur.";"assistant ingénieur";"nc";"Assistant en production et analyse de données.";"externe";"A";1;"https://www.legifrance.gouv.fr/jorf/id/JORFTEXT000020568522";
2009;"E";"Assistant ingénieur.";"assistant ingénieur";"nc";"Gestionnaire de base de données.";"externe";"A";5;"https://www.legifrance.gouv.fr/jorf/id/JORFTEXT000020568522";
2009;"E";"Assistant ingénieur.";"assistant ingénieur";"nc";"Gestionnaire de base de données.";"interne";"A";4;"https://www.legifrance.gouv.fr/jorf/id/JORFTEXT000020568522";
2009;"E";"Assistant ingénieur.";"assistant ingénieur";"nc";"Développeur, intégrateur d'applications.";"externe";"A";14;"https://www.legifrance.gouv.fr/jorf/id/JORFTEXT000020568522";
2009;"E";"Assistant ingénieur.";"assistant ingénieur";"nc";"Développeur, intégrateur d'applications.";"interne";"A";4;"https://www.legifrance.gouv.fr/jorf/id/JORFTEXT000020568522";
2009;"E";"Assistant ingénieur.";"assistant ingénieur";"nc";"Gestionnaire de parc informatique et télécommunications.";"externe";"A";28;"https://www.legifrance.gouv.fr/jorf/id/JORFTEXT000020568522";
2009;"E";"Assistant ingénieur.";"assistant ingénieur";"nc";"Gestionnaire de parc informatique et télécommunications.";"interne";"A";20;"https://www.legifrance.gouv.fr/jorf/id/JORFTEXT000020568522";
2009;"E";"Assistant ingénieur.";"assistant ingénieur";"nc";"Assistant statisticien.";"externe";"A";5;"https://www.legifrance.gouv.fr/jorf/id/JORFTEXT000020568522";
2009;"E";"Assistant ingénieur.";"assistant ingénieur";"nc";"Assistant statisticien.";"interne";"A";2;"https://www.legifrance.gouv.fr/jorf/id/JORFTEXT000020568522";
2009;"F";"Assistant ingénieur.";"assistant ingénieur";"nc";"Assistant de ressources documentaires.";"externe";"A";4;"https://www.legifrance.gouv.fr/jorf/id/JORFTEXT000020568522";
2009;"F";"Assistant ingénieur.";"assistant ingénieur";"nc";"Assistant de ressources documentaires.";"interne";"A";1;"https://www.legifrance.gouv.fr/jorf/id/JORFTEXT000020568522";
2009;"F";"Assistant ingénieur.";"assistant ingénieur";"nc";"Assistant de communication.";"externe";"A";1;"https://www.legifrance.gouv.fr/jorf/id/JORFTEXT000020568522";
2009;"F";"Assistant ingénieur.";"assistant ingénieur";"nc";"Assistant de communication.";"interne";"A";2;"https://www.legifrance.gouv.fr/jorf/id/JORFTEXT000020568522";
2009;"F";"Assistant ingénieur.";"assistant ingénieur";"nc";"Assistant de l'action culturelle.";"interne";"A";1;"https://www.legifrance.gouv.fr/jorf/id/JORFTEXT000020568522";
2009;"F";"Assistant ingénieur.";"assistant ingénieur";"nc";"Assistant de rédaction/édition.";"externe";"A";1;"https://www.legifrance.gouv.fr/jorf/id/JORFTEXT000020568522";
2009;"F";"Assistant ingénieur.";"assistant ingénieur";"nc";"Dessinateur maquettiste infographiste.";"externe";"A";3;"https://www.legifrance.gouv.fr/jorf/id/JORFTEXT000020568522";
2009;"F";"Assistant ingénieur.";"assistant ingénieur";"nc";"Dessinateur maquettiste infographiste.";"interne";"A";1;"https://www.legifrance.gouv.fr/jorf/id/JORFTEXT000020568522";
2009;"F";"Assistant ingénieur.";"assistant ingénieur";"nc";"Assistant de fabrication.";"externe";"A";1;"https://www.legifrance.gouv.fr/jorf/id/JORFTEXT000020568522";
2009;"F";"Assistant ingénieur.";"assistant ingénieur";"nc";"Assistant de fabrication.";"interne";"A";5;"https://www.legifrance.gouv.fr/jorf/id/JORFTEXT000020568522";
2009;"F";"Assistant ingénieur.";"assistant ingénieur";"nc";"Assistant systèmes et techniques audiovisuelles et multimédia.";"externe";"A";1;"https://www.legifrance.gouv.fr/jorf/id/JORFTEXT000020568522";
2009;"F";"Assistant ingénieur.";"assistant ingénieur";"nc";"Assistant systèmes et techniques audiovisuelles et multimédia.";"interne";"A";5;"https://www.legifrance.gouv.fr/jorf/id/JORFTEXT000020568522";
2009;"F";"Assistant ingénieur.";"assistant ingénieur";"nc";"Assistant des métiers de l'image et du son.";"externe";"A";2;"https://www.legifrance.gouv.fr/jorf/id/JORFTEXT000020568522";
2009;"F";"Assistant ingénieur.";"assistant ingénieur";"nc";"Intégrateur multimédia WEB.";"externe";"A";6;"https://www.legifrance.gouv.fr/jorf/id/JORFTEXT000020568522";
2009;"F";"Assistant ingénieur.";"assistant ingénieur";"nc";"Intégrateur multimédia WEB.";"interne";"A";1;"https://www.legifrance.gouv.fr/jorf/id/JORFTEXT000020568522";
